Vendor Code,Name of vendor,Street,City
13598,NETHMI TRANSPORT,"NO. 14/16 KAHATAPITIYA, LOLUGODA",MIRIGAMA
13599,SPAR SL (PRIVATE),"No 1112, Pannipitiya Road,",Battaramulla
13600,LAKSAFETY PRODUCTS,49/19 WEKANDA ROAD,HOMAGAMA
13601,LPG RUBBER INDUSTRIES PVT LTD,"No, 76 Pahala Bomiriya",Kaduwela
13602,TRAVEL POINT (PVT) LTD,"NO DAWSON STREET,",COLOMBO 02
13603,ECOFEEL FOODS (PVT) LTD,"MATALE ROAD, MANANWATTA,",PALLEPOLA
13604,R.W.T.H.GUNAPALA,552 HEENATIYANA,MINUWANGODA
13605,VICTORINES ELECTRICALS,"NO, 100 NEGOMBO ROAD",JA-ELA
13606,ENMA SOLUTIONS (PVT) LTD,"SANASA BUILDING,",YAKKALA
13607,SWANEE MILLS (PVT) LTD,MINUWANGODA ROAD KADIRANA,NEGOMBO
13608,K.G.JAYANTHA PUSHPAKUMARA,535A DHARMAPALAMAWATHA,ANGODA
13609,GINKO STEEL PRODUCT,GIRIDARA OIL MILL,GIRIDARA
13610,LAVINIA FOODS PVT LTD,68/1 SISILA MAWATHA,POLGASOWITA
13611,MORA TRADERS CENTRE,143/14 MESSENGER STREET,COLOMBO 12
13613,A.S.FAMILY SUPER,"130/3 Galapitamada Road,",Avissawella.
13614,W.A.S.R.WIJERATHNE,"A101/3, Galahena,Madola",Avissawella
13615,GAMAGE DISTRIBIUTER,Thathsarani Gamage Mawatha,Poruwadanda
13616,ALETEK INTERNATIONAL PRIVATE,195/5 RANAVIRU PRABATH COORAY MAWAT,RAJAGIRIYA
13617,LAKSHMAN RAJAPAKSHA,"No 105/b, New Kandy Road,",Kaduwela
13618,S S D ENGINEERING,No35 Ja Ela Road,Gampaha
13619,J.A.SUSANTHA,Hiripitiya Road,Weliawa
13620,H.L.SWARNANANDA,"Beandaluwa,Parakaduwa",Ehaliyagoda
13621,H.M.R.W.THILAKARATHNE,"NO.91 3rd Lane,",Avissawella.
13622,MT AND T LANKA (PVT) LTD,"NO 33 1/3 PLAZA COMPLEX,",COLOMBO 06
13623,INSYNC INFORMATION,No 37/1 RAJAMALWATTA ROAD,BATTARAMULLA
13625,PUHULYAYA AGENCIES (PVT) LTD,"No 35 , Old Kottawa Road,",Nugegoda
13626,DAYA SRI VENTILATION SERVICES,"o  229, Jayanthie Vidyala Mw",Piliyandala
13627,D P LOGISTICS PVT LTD,75 HYDE PARK CORNER,COLOMBO 02
13628,TECHNICAL FIRE PROTECTION AND,277 U.D.T.WIMAL PEREPA MW,PILIYANDALA
13629,STATE PRINTING CORPORATION,"95, SIR CHITTAMPALAM A GARDINER MW",COLOMBO 02
13630,DENIPITIYA CONTHRATHKARUWO,410 Palliyawattta,Kosgama
13631,SHA VISION OPTICIAN,"NO 18 MINUWANGODA,ROAD",JA -ELA
13632,ROCKWELD INTERNATIONAL,"No 5 , Allothiyawa Road ,",Nugegoda
13633,B.N.K.M.WICKRAMASURIYA,"No-219 Piduruwella,Uhumeeya",Kurunegala
13634,F.T.C.VENTURES (PVT) LTD,429C GALLE ROAD,RATHMALANA
13635,MATRIK,"No 37 Abdul Jabbar  Mawatha,",Colombo 12
13636,CLASSIC IMPRESSIONS (PVT) LTD,"NO:6/1B PARAKUM MAWATHA ATTIDIYA,",DEHIWALA
13637,W.P.SATHARASINGHE,"70/48/2/1 Baseline Avenue ,Borella,",Colombo 08
13638,REX POLYMER PRODUCTS,"NO 571/5 CHILAW ROAD,KATTUWA",NEGOMBO
13639,FORECONNS CANNERIES,10 TEMPLE ROAD,BERUWALA
13640,SHINE TRADE CENTRE,"18 1/5 LITTLE PLAZA,",COLOMBO 11
13641,R.D.S.R KUMARATHUNGE,KIRIMATIYA WATTA,MAHAWA
13642,MANKO SECURITY (PVT) LTD,NO 105A DUTUGAMUNU ROAD,DEHIWALA
13643,G.H.N. JAYANATH,"RAMMALA,WARAPITIYA",MATARA
13644,S.WICKRAMASINGHE,No 84 Old Kesbewa Road,Nugegoda
13645,NIMAL ENGINEERING WORKS,"NO 202 A, ALUTHGAMA,BOGAMUWA",YAKKALA
13646,ONET SOLUTIONS,No.121 Mithree Mawatha,E-Kala
13647,XPLOSA CORPORATION (PVT) LTD,No.17 Industrial Zone,Kandy
13648,WIJERATHNA ENTERPRISES,"152/A/3, Hokandara South",Hokandara
13649,IMASHI PRAKSHANA,"No 96A Wanatha RD, Gangodawila",Nugegoda
13650,C AND A STUDIO & DIGITAL COLOR LAB,"No 35A 1/1 Bodhiraja Mawatha,",Kurunegala
13651,WEDAGE & CO  PVT  LTD,No.45/05 Wennawatta,Wellampitiya
13652,QUALITAIR AIR CONDITIONING (PVT) LT,"No:22, Old Road,Navinna,",Maharagama
13653,MULTI PAINTS &,136 GALLE ROAD,DEHIWALA
13654,R P MANJULA,187A/157A MADAWALA EAST,MINUWANGODA
13655,JAYAGAMA RICE MILL,"No. 3 Kudagammana, Beralihela",Thissmaharamaya
13657,H.M.D.P.VIDYARATHNE,"No 152/3, Baker road , Alubomulla",Panadura
13658,TRANSPORT VENDOR - BGMA2,MAHIYANGANAYA-PFL,MAHIYANGANAYA
13659,ANIM8 (PRIVATE) LTD,232 Thimbirigasyaya Rd,Colombo 05
13660,RANWIMANA TAILORS,NO 43/A MADEMULLA,MINUWANGODA
13661,KARUNARATNA SONS,"375/A, HIGH LEVEL ROAD, MAKUMBURA,",PANNIPITIYA.
13662,J.L.EKANAYAKA,Panama West,Panama
13663,K.M.C.KUMARI,Marawa,Monaragala
13664,S.RASAMANY,Marapalam,Karadiyanaru
13665,S.A.D.NIPUN SWARNA SHRI,Kamburugoda,Wadumunnegedara
13666,AGXA HOLDINGS (PVT) LTD,"110 - 114, BRAYBROOKE PLACE,",COLOMBO 02
13667,WIRE COMMUNICATION CONSULTANCY,"101, Kandy Road,",Kiribathgoda
13668,B.G.P.N ROHINI,"NO  85 WATHTHA,WALAKUMBURUNULLA",KULIYAPITIYA
13669,MACHINE IMPEX (PVT) LTD,NO 545/1A SRI SANGARAJA MAWATHA,COLOMBO 10
13670,R.M.GUNAPALA,351/1 Rotalawela,Diulapalassa
13671,J.A.R.JAYAKODI,521 Palatiyawa,Polonnaruwa
13672,B.L.G.MADUWANTHI,"No 265 , Batapotha",Gampaha
13673,BLUELINE ENTERPRISES PVT LTD,"No 133/7 , Nawala Road",Narahenpita
13674,CALIFOLINK LOGISTICS (PVT) LTD,"364A Vaikkiyawatta Road,",Kaduwela
13675,HEAVY DUTY COATINGS (PVT) LTD.,"750, NEGOMBO ROAD,",RAGAMA
13676,PADDY MARKETING BOARD,"6TH FLOOR, HOUSING SECRETARIAT BUIL",COLOMBO 2
13678,K.A.SIRIWARDANE,"No 30, bulugolla",Pothuhara
13679,DERANA MACROENTERTAINMENT (PVT) LTD,"Level 04, No 320. Deutsche House,",Colombo 10
13680,D.W.T.K. DISSANAYAKE,"No. A /188 Pallekele, Kundasale",Kandy
13681,PALITHA DIAS ABEYGUNASEKARA,"26/B/8 HALPITA ROAD,NIWUNGAMA",PILIYANDALA.
13682,E.M.C HARDWARE,E 330/2 ATULUGAMA /DEHIOVITA,AVISSAWELLA
13684,A.C HARDWARE,"NO58R, COLOMBO ROAD,",AVISSAWELLA
13685,PACKSCO CEYLON (PVT) LTD,"NO. 19, ST. MICHAELS ROAD,",COLOMBO 03
13686,K.A. DINAPALA & COMPANY,NO. 63 3RD FLOOR,KANDY
13687,K.R.S HEMAPALA,Udawela,Barawardanaoya
13688,RUCHI CABS,No. 183 Bandarawatta Junction,Biyagama
13689,R.M.S.FERNANDO,"NO 7/69C SECOND LANE, NAWALA",RAJAGIRIYA
13690,KALUM PALITHA MAHEERATHNA,"476/2, Weera Mawatha,Depanama",Pannipitiya
13691,"SPORTS COUNCIL, JAYEWARDENEPURA","Gangodawila,",Nugegoda
13692,Sithumina Prajamula Sanvidanaya,"480-C, BATEWELA",RANALA
13693,D M A V SENARATHNA,"NO 21 HATHOTA ROAD,",BANDARAGAMA
13695,TOKYO SUPERMIX (PRIVATE) LIMITED,469-1/1 GALLE ROAD,COLOMBO 03
13696,K.SHAN INDIKA,PANSALA ASALA MUNHENA,BERUWALA
13697,RUWAN INDUSTRIAL SAFETY,AVISSAWELLA ROAD,WELLAMPITIYA
13698,WILLOWS HOLDING (PVT) LTD,5/2/A THILINA MAWATHA,KENGALLA
13699,JUST TECHNOLOGIES (PVT) LTD,NO. 27/B/1 OLD KOTTAWA ROAD,NUGEGODA
13700,PRAGMATIC INTERNATIONAL,"NO. 82, PAGODA ROAD,",NUGEGODA.
13701,POWERLINE ELECTRIC COMPANY��,"NO. 458, KANDY ROAD,",KELANIYA
13702,CEYLON GLOBAL IMPEX PVT LTD,No. 391 KADUWELA ROAD,MALABE
13703,LAXAPANA BATTERIES PLC,"NO. 98, SRI SANGARAJA MAWATHA",COLOMBO 10
13705,P.S.K. APPERAL,No 609/02 HEIYANTHUDUWA,
13706,M.D.U. NIRANJANA,,HEIYANTHUDUWA
13707,W.M.P.WIJESOORIYA,No 59/2 Walimadayaya,HEBARAWA
13710,JUPITER PACKAGING (PVT) LTD,64 MAYFIELD ROAD,COLOMBO 13
13711,LORDS ENTERPRISE,10-A QUARRY ROAD,Colombo 12
13712,A M A B SENAVIRATHNE,16/2 HENWALA,KANDY
13713,H. M. R. R. DHASANAYAKA,HETHALAWA,BORALUWEWA
13714,C N S TRANSPORT,"256/1 1ST  Lane,",Athurugiriya
13715,SOFTLOGIC SUPER MARKETS (PRIVATE),14 DE FONSEKA PLACE,COLOMBO
13716,SAPID FOODS,82/A Thampala,Ja-ELa
13717,SAVANNAH OUTDOOR (PVT) LTD,"NO. 12/1 1ST LANE,SAMAN MAWATHA","GALAWILAWATTA, HOMAGAMA."
13718,LED EXPLORER,"424/7, WIJESOORIYA MAWATHA",PANADURA
13719,PREMASIRI� STORES SUPERMARKET,"No 253/A, R A DE Mel Mawatha",Colombo 03
13720,A.M.THILAKARATNE,"No 678 Madamandiya, Panagoda",Homagama
13721,JALANKA INTERNATIONAL,No.85 Dudley Senanayake Mawatha,Colombo 08
13722,RATHNAK GEDARA SAMAN BANDARA,"No.110/9, Kalukondyawa , walgama",Malwana
13723,AITKEN SPENCE HOTEL HOLDINGS PLC,315 Vauxhall Street,Colombo 2
13724,ROSI CATERING SERVICE,NO. 06 RATHGALLA WATTA,BOYAGANE
13725,DEE AND SHA HOLDINGS,"138 WELIPURA, DALUGAMA",KELANIYA
13726,A.A.D.T. LEELARATNA,51/H KEMENKADAWILAWATHTHA,PILIYANDALA
13730,H.M.P. SUBASINGHE,Fire Brigade,Kandy
13731,MIHINULA ENGINEERING,"NO 90/2, Kurunduwaththa rd,",Ranala
13732,NANOTECH HEAVY ENGINEERING,"6 Sikurapotha waththa,",Peradeniya
13733,LIVE 21 (PVT) LTD,"61/5B Old Road,","Nawala,"
13734,KODITHUWAKKU ARACHCHIGE SUNIL,37414 MAYA ROAD,PANNIPITIYA
13735,LASER SCALE TECH,599 GODAGAMA ROAD,ATHURUGIRIYA
13736,NEW DEMEL INDUSTRIES,"MADOLA,",AVISSAWELLA
13737,M.D. STORES,621/1 Kandy Road,Kengalla
13738,V. NANDAKUMAR,,Kundasale
13739,GEHAN BLOK,"9/2b, gemunu mawatha,",attidiya
13740,GANDHARA HOMES AND CONSTRUCTIONS,"193/2/B, School Lane , Mahara - nug",Ragama
13741,VICTORINES,NO 100 NEGOMBO ROAD,JA-ELA
13742,ASIAN BUSINESS  LINKS (PVT) LTD,"No.08 A Meda Welikada, Welikada,",Rajagiriya.
13743,N P N PRIYANTHA,No.22/3 Banduragoda,Alawwa
13745,MILROY AUTO ENGINEERS,"449/2, Kohalwila Road, Gonawala",Kelaniya
13746,G D W ABEYWARDENA,"110/9, Kalukondyawa Walgama",Malwana
13747,FRESH LINE SAFETY PRODUCTS,"No 13. Nagenahira Mw, Kirillawala",Kadawatha
13750,S.K.M.D.KARUNARATHNE,"Cherriton mawatha, Puwakpitiya",Avissawella
13751,PRI 54 DIV,54 I Division Headquarters,Mannar
13752,LIBERTY PUBLISHERS (PRIVATE) LIMITE,"No:91, Wijerama Mawatha,",Colombo 07
13753,SAVONTA SERVICES (PVT) LTD,"255B/1, Rathnapura Road,Getahetta",Avissawella
13754,DM POLY PACKAGING (PVT) LTD,277 B Meemana,Horana
13755,R.M.L.INDIKA DEWAPRIYA,"85, Dumriyapala Para, Udahamulla,",Nugegoda
13756,W. CHAMINDA RAJAKARUNA,Idigahawewa,Eppawala
13757,N.K.G.N.C. SOMAWANSHA,263/A Pallemulla,Katugatota
13758,PRIYANKE ENTERPRISE,337/2 PITIPANA NORTH,HOMAGAMA
13759,DYNAMIC AUTO SOLUTIONS,142/A PUTTALAM ROAD,KURUNEGALA
13760,A.M.R.I.B. ABEYKOON,142/A puttalam Road,Kurunagala
13761,KAIZEN PLUS SKD (PVT) LTD,"7-2/1 ORCHARD COMPLEX, GALLE ROAD",COLOMBO 06
13762,SEA WORLD LANKA (PRIVATE) LIMITED,NO 284 VAUXHALL STREET,COLOMBO
13763,COLOMBO CLUB,"NO. 25 COLOMBO CLUB,C/O.TAJ SAMUDRA",COLOMBO 03
13764,KANGAROO CABS PVT LTD,"485/7A, GUNAWARDANA MAWATHA,",NUGEGODA.
13765,KANGAROO VANS PVT LTD,"485/7A, GUNAWARDANA MAWATHA,",NUGEGODA.
13766,CONNECT PRINTING SOLUTION (PVT) LTD,"No 147/1, Mampe North,, Maharagama",Piliyandala
13767,D.S.S. POLESACK (PVT) LTD,233/3 HEKITTA ROAD,WATTALA
13768,CYRUS INFORMATION,62/10 OLD KESBEWA ROAD,NUGEGODA
13769,BI COMMODITIES &,105/4 ETTAMPOLAWATTA ROAD,WATTALA
13770,S.M.K. KUMARIHAMI,No. 09 Pattiyathena Road,Manikhinna
13771,MOUNT SPRING WATER PVT LTD,110 KUMARANRATNAM ROAD,COLOMBO 02
13772,A.M.I.M.R ABEYKOON,NO 06 ELA KEKIRAWA,KEKIRAWA
13773,�INDUSTRIAL AIR SOLUTIONS PVT LTD,430/1 Sunethradevi Road,Kohuwala
13775,NIYARA TRADING COMPANY,37 Dawson Street,Colombo 02
13776,B.W  NAWARATHNA,NO 12/86 KESELPOTHA,MAHIYANGANA
13777,DEVA ENGINEERING,"119J Oruthota Road,",Gampaha
13778,INSEE ECOCYCLE LANKA (PRIVATE),NO 413 R.A DE MEL MAWATHA,COLOMBO-03
13779,S P SWARNALATHA,"41 Gemunu Mawatha,Oruwala",Athurugiriya
13780,H.C.R PERERA,209 ELLANGALA,MINUWANGODA
13781,MHN HOLDINGS,32/9 Niyandagala Rd,Pannipitiya
13782,JAINDI EXPORT (PRIVATE)LIMITED,"NO 47,INDUSTRIAL ESTATE",DANKOTUWA
13785,AEROMAX TRADERS,182/1 BANDARANAYAKE MAWATHA,COLOMBO 12
13786,M.N.RANARAJA,"101/2 Abeyratne Mawatha,",Boralesgamuwa
13787,DDC OFFICE AUTOMATION,"155/1/D-1 NEW KANDY ROAD,BANDARAWAT",BIYAGAMA
13788,S.P.L PATHIRATHNA,BULANKANDA,DUMMALASOORIYA
13789,DIRANCO GRAPHITEC (PVT) LTD,"35 Sri Bodhiseeha Mawatha,Rattanapi",Boralesgamuwa
13790,HAAT HOLDINGS (PVT) LTD,"240/B1A, HIGH LEVEL ROAD",KIRULAPANA
13791,N.P.THIBBUTUMUNUWA,"310/18 2ND LANE,KALAPALUWAWA",RAJAGIRIYA
13792,CROWN TRADING COMPANY (PVT) LTD,110 Dam Street,Colombo 12
13793,R.M. KUMARATHUNGA LIYANAGE,440 Mahamudhuna,Alawathugoda
13794,P.M. MOHAMEDALI & CO,187 Prince Street,Colombo 11
13795,D.M RATHNAYAKE,01 PUWAKPELEKUMBURA,MAHIYANGANA
13796,D.M THILAKARATHNE,01 KESELPOTHA,MAHIYANGANA
13797,W.A JAYARATHNE,11/154 UDUBUBULA,BIBILA
13798,Y.B.M.T.N.D YAPABANDARA,37 DEWALEGAMA,KEGALLE
13799,NAWALA CUSHION WORKS (PRIVATE),61 A NARAHENPITA ROAD,NAWALA
13800,D.M.L.P.DISSANAYAKA,Komarika Project,Meegahakiula
13801,R.D. HARAMANIS,11/154 KESELPATHA,MAHIYANGANA
13802,D.M.L DISSANAYAKE,12/120 KESELPOTHA,MAHIYANGANA
13803,R.D.M.A.V.BANDARA,309 Mahawalithanna,Mahawalithanna
13804,D.M.D.WIJEWEERA,Karadhagahamada Arawa,Badulla
13805,A.M PATHMAWATHI,10/70 THISSAPURA,MAHIYANGANA
13806,R.A.S LAKXMAN,01 BIBILA,BIBILA
13807,YASARU ENTERPRISES,1/H Sapugaskanda,Makola
13810,PULINA INDUWARA ENTERPRISES,115/F Amunugoda,Imbulgoda
13811,CEYLON DESICCATED COCONUT,1/82 Kimbulapitiya Road,Negombo
13815,EMINENT AUTOMATION,756/2  Himbutuwelgoda,Kelaniya
13816,R M SIRIPALA,428 GANGODA ROAD,BALALLAPITIYA
13817,TECHNO BLUE ENGINEERING,241/3 Kahantota Road,Malabe
13818,M.G. KARUNARATHNE BANDA,383 Rajawella,Digana
13819,ABHAYA SENEVIRATNE,"20/1G Gamini Lane,",Mt. Lavinia
13820,T.H THILAKARATHNE,"ROHALA IDIRIPITA,",THISSAPURA
13825,SINNAIYYA PRAMILA,Sirigala Pahala Kotasa,Monaragala
13826,TRANSNATIONAL LANKA (PVT) LIMITED,55/60 VAUXHALL LANE,Colombo
13830,ZENIX,59 NHS,MATALE
13831,J.M.K.PATHIRANA,,
13832,CANTEC PRINTING &,186 NAWALA ROAD,NAWALA
13835,MAATA SERVICES,43 VELUWANA TERRACE,COLOMBO 09
13840,"EBERT SILVA TOURING CO., (PVT) LTD",11 MALWATTE ROAD,DEHIWALA
13841,WILLIAMSONS CORPORATION,285 KANDY ROAD,KADUGANNAWA.
13842,YASHI HOLDINGS PRIVATE,4/1 Halgaswatte Lane,Colombo
13843,"SECRETARY, MINISTRY OF SCIENCE,",17 VICTORIA PLACE,COLOMBO
13844,MULTI TECH ENGINEERS,WALIKARE,ALAWWA
13845,KRASIV INDUSTRIES (PRIVATE) LIMITED,24A FIFE ROAD,COLOMBO 05
13846,M.M DINGIRIBANDA,1/93/453 THISSAPURA,MAHIYANGANA
13847,D.M DAYANADA,PUWAKA KELE,MAHIYANGANA
13848,D.M.R ANANDA,PUWAKKELE,MAHIYANGANA
13849,ACADEMY OF ADVENTURE (PVT) LTD,05  Belihuloya,
13850,A.G RUPAWATHI,45 ARAWATHA,MAHIYANGANA
13851,R.D.S RAJAPAKSHA,9/121 SUNGABOOPURA,ARAWATHA
13852,MALANI CUT PIECE CENTER,379/5 PILIYANDALA ROAD,PANNIPITIYA.
13853,"SECRETARY, MUSALI PRADESHIYA SABHA",,CHILAWATHUREI.
13854,"THE INSTITUTION OF ENGINEERS,",120/15 WIJERAMA MAWATHA,COLOMBO
13855,HALLMARK TRADING,186/B IHALAGAMA,GAMPAHA
13856,EASTERN TRADING COMPANY,273 OLD MOOR STREET,COLOMBO
13857,L.N.S.P DE SILVA,NO 09 PEELAWATTE,MINUWANGODA
13858,ICEMAN DISTRIBUTORS (PVT) LTD,"60/2 ANIYAKANDA ESTATE, ANIYAKANDA",KANDANA.
13860,RIDGECREST GROUP (PVT) LTD,257/15 TORRINGTON AVENUE,COLOMBO 05
13861,P.W KALYANARATHNE,NO394 MALIGATHANNA,VEYANGODA
13862,SUPER 16 JUNIOR RUGBY CARNIVAL,"278 LEVEL 4 , ACCESS TOWERS",COLOMBO 02
13863,ROHITHA TRADE CENTER,NO 34 NEW TOWN,DIGANA
13864,USS ENGINEERING (PVT) LTD,397 GALAHITIYAWA SOUTH,GANEMULLA
13865,J.S.B. OIL MART,Moragahapitiya Mawatha,Kengalla
13866,PRINT IT,112/14 LAKE RD. BORALESGAMUWA,COLOMBO
13867,D.A.M.R. DIKWELLA,AYOJANAGAMA,KUNDASALE
13868,I M J W L ILANGASINGHE,17 ILUKEGAMA,KEKIRAWA
13871,D M KARUNARATHNE BANDA,54 ULPATHGAMA,GALENBINDUNUWEWA
13872,G H K ROHINI,149 MEGODAWEWA,GALENBINDUNUWEWA
13873,D M S S K DISSANAYAKE,8/95 NARANGASWEWA,DEWAHUWA
13874,A B UPUL PRIYASHANTHA,GALPAYA,DEWAHUWA
13875,A A I DILSHAN,88 LOLUGASWEWA,GALNEWA
13876,R M T PADMAKUMARA ABEKOON,580 DUTUWEWA,GALENBINDUNUWEWA
13877,P G D RATHNAKUMARA,778/B DUTUWEWA,GALENBINDUNUWEWA
13878,K A G P A K WIMALASENA,75 IHALABORALUGODELLAGAMA,KOKAWEWA
13879,P G N S B SENARATH,92B GETALAWA,GALENBINDUNUWEWA
13885,SADILMA CONSTRUCTION (PVT) LTD,181/A PANAWALA ROAD,AVISSAWELLA
13886,DO NOT USE,,
13887,E.V. GAYAN INDUNIL PERERA,121/3/B/3 IHALA BOMIRIYA,KADUWELA
13888,HYDROTEC SYSTEM,61/1 BADDAGENA SOUTH,PITAKOTTE
13889,ROTELCO COMMUNICATION SYSTEMS,"169 2ND FLOOR,NAWALA ROAD",COLOMBO 05
13890,KASTHURU ACHCHIGE SOMASIRI,KIRIWANAPOLA,MAHARACHCHIMULLA
13891,A.M.A PRIYANTHA,"KERALAYNA WATTA,",KULIYAPITIYA
13892,DEEPA STORES PRIVATE LIMITED,32 WARIYAGODA,ALAWWA
13895,BIONUTRI INTERNATIONAL (PVT) LTD,NO 06 ARTHURT'S PLACE,MORATUWA
13896,RETECH INTERNATIONAL (PVT) LTD,116/10 ST.MARY'S ROAD,KADANA
13897,R.P.I. SANDAKELUM,No.18 DAKUNU KANDALAMA,DAMBULLA
13898,NIROSH INDUSTRIES,NO.331 UNAGAHA WATTA,GANEMULLA
13899,SIMEKTA ENGINEERING CONSULTANTS,#411/21 ATTIGALA MAWATHA,SRI JAYAWARDANEPURA KOTTE
13900,B.S.S RATHNASIRI,"MAHIMPITIYA,THALAHITIMULLA",KULIYAPITIYA
13905,S A KUMUDU RUKSHAN SIRIWARDHANA,"16-1570 MADDEPOLA,GURUGALGODA",GIRIULLA
13906,ART SENSE ADVERTISING (PVT) LTD,543/G MADIWELA ROAD,TALAWATHUGODA
13907,TULIP TECHNOLOGIES (PVT) LTD,"NO.40 NO.40, NAWAM MAWATHA,",COLOMBO 02
13908,GAMINI HOMCO (PVT) LTD,,RANALA
13909,DIGISCAN SECURE PRINT SOLUTIONS,#30 CAMPUS ROAD,BORALASGAMUWA
13910,H.R. RANJITH,#159/52 TEMPLE ROAD,MAHARAGAMA
13911,JOWFER RICE MILL,CC 37/3 CENTRAL CAMP,AMPARA
13912,A.L. JOWFER,,
13913,DIGANA SUPERMARKET,No.16 New Town,Digana
13914,DIGANA SUPER MARKET,No.16 New Town,Digana
13915,"SECRETARY,PRADESHIYA SABHA ,","BADULLA RD,",Hali-ela
13916,AL MADINA RICE MILL,POTTUVIL ROAD,AKKARAPATTU
13917,A.C.BATHURDEEN,POTTUVIL ROAD,AKKARAPATTU
13918,SUDATH MOTORS,113/8B Janatha Jaya Mawatha,Moratuwa
13919,SUDATH FERNANDO,,
13920,PETFORM (PVT) LTD,No.14 Wekanda Road,Malwana
13921,C.S.RANATHUNGA,435/44 Nungamugoda,Kelaniya
13922,PNEUMATIC ENGINEERS,45/3 Ihala Bomiriya,Kaduwela
13923,JAYANTHA DISTRIBUTOR,49/25 Niyandagala,Pannipitiya
13924,ZAINAB MARKAR,No 35 Kaviratne Place,COLOMBO 06
13925,D.P.PIYASENA,350/5 Kiriwandhala,Avissawella
13926,G K INDUSTRIAL PUMP SOLUTIONS,26/10 Wijerama Road,Kelaniya
13927,S.A.W.SENANAYAKE,382 DORANAGODA,BEMMULLA
13928,M & R CONSOLIDATED,40/17 Longden Place,Colombo 07
13929,H.M.S. DISTRIBUTORS (PRIVATE) LTD,46/1 Kandy Road,Warakamura
13930,CTS CERAMICS PRODUCTS,43 Thumodara Road,Awissawella
13931,J.B. GRAIN CENTER,Habarana Road,Maradankadawala
13932,J.B. WASANTHA,,
13933,DIAMOND INTERNATIONAL LANKA,66/7 1st Lane,Kelaniya
13934,W K H EASHAN,Thudugala Kanda Noboda,Kauthara South
13935,ISLEBOUND CEYLON (PVT) LTD.,69  JANADHIPATHI  MAWATHA,COLOMBO
13936,H.P.D.NIMEDINI,"130,132 Kalugalls Mawatha",Kegalle
13937,D.D. ATUKORALA SUPER MARKET,122 Main Street,Kegalle
13938,W P A JAYASIRI,Mawatta Farm,Dankotuwa
13939,H E M I G I M HERATH,27/9 Morayaya,Minipe
13940,W V L SUGANDI,191/D Gonapola Junction,Horana
13941,SHARMILA JAN,7/32 Station Road,Maharagama
13942,SENIRU TENUKA AMARASINGHE,57/5 Ward Place,Colombo
13943,S P ARUNA DARSHANA,"663 LB 06, Dehiwaththa",Serunuwara
13944,R R D RANATHUNGA,43/1 Thiththawepatha,Pallebedda
13945,R.S.JANSEN,77/11 A 19th Lane,Kottawa
13946,R NADEESHA,78/B1 Gonadeniya,Kariyamadiththa
13947,R M S J RANASINGHE,Piduma,Galigamuwa Town
13948,W K L A NIMALI,"15/A MAHAWELIKADAARA, DOMPEYAYA",SOORIYAWEVA
13949,NILANI RATHNAYAKA,"Kokatiyawela, Wewalawaththa,",Rathnapura
13950,M V S DE SILVA,28/3 Wijeyarama Road,Balapitiya
13951,H D V LAKSHANI,73 Bolagala,Katana
13952,L P S DANANJAYA,14 Polhena Mellawagedara,Pannala
13953,M M K  KUSHANTHA,"8 Mile Pst ,Welimada Road",Bandarawela
13954,K G D M S  KUMARASINGHE,57/1 Galgediyahena,Pewalla
13955,WELIGAMA FAMILY MART (PVT) LTD,No.51 Main Street,Kegalle
13956,I.S.P.PERERA,"No.87/B Kajugahawatta, Gonthatuwa",Angoda
13957,COLOMBO AGENCIES LIMITED,Ethul Kotte,Kotte
13958,JAYANTHA  MARKETING INTERNATIONAL,No:48 Main Street,Alawwa
13959,A.T.A.WIJAYASOMA,,
13960,W.H ANURA,NO:276K MOUNT PARADISE LANE,GURUDENIYA
13961,AKMARK GLOBAL (PVT) LTD,"5-1/1 Punchiwella Road,",Welisara
13962,JAYAMANNA TRADE CENTER,"130,132 Kalugalla Mawatha",Kegalle
13963,KPK ENTERPRISES,215 Ihala Bomiriya,Kaduwela
13964,U.L. SIRIWARDANA,26 OLD QUARRY ROAD,COLOMBO
13965,SABI AUTOMATION,"42/A KOTIGAMGODA,PADUKKA",PADUKKA
13966,A.R. AJITH FERNANDO,177/1 KERAWALAPITIYA ROAD,HENDALA
13967,SURAPATHI HOLDINGS (PVT) LTD,422/C BASELINE ROAD,KATUNAYAKE
13968,ACKZORNE LANKA (PVT) LTD,833/1 Thihariya,Nittambuwa
13969,BIO FOOD (PVT)LTD,52/1/D NEW KANDY ROAD,KADUWELA
13970,SIVA DISTRIBUTER,"S.R.K. COLLEGE FRONT ROAD,",AKKARAIPATTU-07
13972,RITWI TRADING,120/19 SANGAMITTA MAWATHA�,Colombo 13�
13973,D.S.FERNANDO,No.19 3 rd Lane,Rathmalana
13974,YAPAWWA SRI DALADA PERAHARA,,YAPAWWA
13975,J.S.MADAWELA,10/9 Dharmarathna Mawatha,Kotte
13976,JAYANTHAA ELECTRICALS,454/1 A MAKUMBURA,PANNIPITIYA
13977,ANEW CEYLON TEA & SPICE (PVT) LTD,NO 292 AMBATHALE ROAD,ANGODA
13978,CHAMARA RADIATOR HOUSE,No 19 Awissawella road,Kaduwela
13980,GALAXY CLOTHING (PVT) LTD,600/7B BANDARANAYAKE MAWATHA,KADAWATHA
13981,ES TRADING,NO.05 UNIVERSAL RESIDENCE,YAKKALA
